| i: 5900 | Train Accuracy: 0.42480000853538513 | Train Loss: 1.523848295211792 | Test Accuracy: 0.2425999939441681 | Test Loss: 2.3798999786376953 |
| i: 6000 | Train Accuracy: 0.4269999861717224 | Train Loss: 1.520749568939209 | Test Accuracy: 0.24320000410079956 | Test Loss: 2.383807897567749 |
| i: 6100 | Train Accuracy: 0.4275999963283539 | Train Loss: 1.5228385925292969 | Test Accuracy: 0.23520000278949738 | Test Loss: 2.3885414600372314 |
| i: 6200 | Train Accuracy: 0.43380001187324524 | Train Loss: 1.5154536962509155 | Test Accuracy: 0.2378000020980835 | Test Loss: 2.392674684524536 |
| i: 6300 | Train Accuracy: 0.41600000858306885 | Train Loss: 1.5351938009262085 | Test Accuracy: 0.23600000143051147 | Test Loss: 2.393122434616089 |
| i: 6400 | Train Accuracy: 0.43560001254081726 | Train Loss: 1.5084683895111084 | Test Accuracy: 0.24300000071525574 | Test Loss: 2.393928050994873 |
| i: 6500 | Train Accuracy: 0.4296000003814697 | Train Loss: 1.5164943933486938 | Test Accuracy: 0.23819999396800995 | Test Loss: 2.4043569564819336 |
| i: 6600 | Train Accuracy: 0.40799999237060547 | Train Loss: 1.54805588722229 | Test Accuracy: 0.2386000007390976 | Test Loss: 2.4389841556549072 |
| i: 6700 | Train Accuracy: 0.4296000003814697 | Train Loss: 1.5183438062667847 | Test Accuracy: 0.23579999804496765 | Test Loss: 2.3898372650146484 |
| i: 6800 | Train Accuracy: 0.4311999976634979 | Train Loss: 1.5061970949172974 | Test Accuracy: 0.23819999396800995 | Test Loss: 2.396601676940918 |
| i: 6900 | Train Accuracy: 0.438400000333786 | Train Loss: 1.50554358959198 | Test Accuracy: 0.23999999463558197 | Test Loss: 2.405891180038452 |
| i: 7000 | Train Accuracy: 0.4410000145435333 | Train Loss: 1.4998142719268799 | Test Accuracy: 0.24619999527931213 | Test Loss: 2.408216953277588 |
| i: 7100 | Train Accuracy: 0.44179999828338623 | Train Loss: 1.4962869882583618 | Test Accuracy: 0.24140000343322754 | Test Loss: 2.4141225814819336 |
| i: 7200 | Train Accuracy: 0.43939998745918274 | Train Loss: 1.499876618385315 | Test Accuracy: 0.23980000615119934 | Test Loss: 2.430647373199463 |
| i: 7300 | Train Accuracy: 0.4325999915599823 | Train Loss: 1.5047250986099243 | Test Accuracy: 0.23659999668598175 | Test Loss: 2.426826000213623 |
| i: 7400 | Train Accuracy: 0.43720000982284546 | Train Loss: 1.4999253749847412 | Test Accuracy: 0.23260000348091125 | Test Loss: 2.430910348892212 |
| i: 7500 | Train Accuracy: 0.43160000443458557 | Train Loss: 1.5027294158935547 | Test Accuracy: 0.24160000681877136 | Test Loss: 2.4494197368621826 |
| i: 7600 | Train Accuracy: 0.44040000438690186 | Train Loss: 1.4937087297439575 | Test Accuracy: 0.2476000040769577 | Test Loss: 2.4329421520233154 |
| i: 7700 | Train Accuracy: 0.4390000104904175 | Train Loss: 1.4997928142547607 | Test Accuracy: 0.24580000340938568 | Test Loss: 2.4425156116485596 |
| i: 7800 | Train Accuracy: 0.44040000438690186 | Train Loss: 1.4873321056365967 | Test Accuracy: 0.2433999925851822 | Test Loss: 2.446986436843872 |
| i: 7900 | Train Accuracy: 0.4456000030040741 | Train Loss: 1.4850314855575562 | Test Accuracy: 0.24580000340938568 | Test Loss: 2.4526543617248535 |
| i: 8000 | Train Accuracy: 0.4447999894618988 | Train Loss: 1.48971688747406 | Test Accuracy: 0.2460000067949295 | Test Loss: 2.454720973968506 |
| i: 8100 | Train Accuracy: 0.43720000982284546 | Train Loss: 1.501866340637207 | Test Accuracy: 0.2401999980211258 | Test Loss: 2.4692885875701904 |
| i: 8200 | Train Accuracy: 0.4422000050544739 | Train Loss: 1.4831393957138062 | Test Accuracy: 0.24560000002384186 | Test Loss: 2.4603843688964844 |
| i: 8300 | Train Accuracy: 0.448199987411499 | Train Loss: 1.478538155555725 | Test Accuracy: 0.24160000681877136 | Test Loss: 2.4582600593566895 |
| i: 8400 | Train Accuracy: 0.45080000162124634 | Train Loss: 1.4825526475906372 | Test Accuracy: 0.2451999932527542 | Test Loss: 2.462554454803467 |
| i: 8500 | Train Accuracy: 0.43880000710487366 | Train Loss: 1.4957383871078491 | Test Accuracy: 0.2425999939441681 | Test Loss: 2.469552516937256 |
| i: 8600 | Train Accuracy: 0.45179998874664307 | Train Loss: 1.4733190536499023 | Test Accuracy: 0.24060000479221344 | Test Loss: 2.460019111633301 |
| i: 8700 | Train Accuracy: 0.45500001311302185 | Train Loss: 1.4717848300933838 | Test Accuracy: 0.23980000615119934 | Test Loss: 2.467132568359375 |
| i: 8800 | Train Accuracy: 0.4442000091075897 | Train Loss: 1.4788156747817993 | Test Accuracy: 0.2401999980211258 | Test Loss: 2.477968454360962 |
| i: 8900 | Train Accuracy: 0.430400013923645 | Train Loss: 1.5019675493240356 | Test Accuracy: 0.2401999980211258 | Test Loss: 2.4983463287353516 |
| i: 9000 | Train Accuracy: 0.4431999921798706 | Train Loss: 1.4841288328170776 | Test Accuracy: 0.24379999935626984 | Test Loss: 2.4855923652648926 |
| i: 9100 | Train Accuracy: 0.43140000104904175 | Train Loss: 1.511727213859558 | Test Accuracy: 0.2401999980211258 | Test Loss: 2.492589235305786 |
| i: 9200 | Train Accuracy: 0.4575999975204468 | Train Loss: 1.4620015621185303 | Test Accuracy: 0.2433999925851822 | Test Loss: 2.471209764480591 |
| i: 9300 | Train Accuracy: 0.4560000002384186 | Train Loss: 1.464704155921936 | Test Accuracy: 0.24560000002384186 | Test Loss: 2.4803597927093506 |
| i: 9400 | Train Accuracy: 0.4593999981880188 | Train Loss: 1.4666438102722168 | Test Accuracy: 0.2370000034570694 | Test Loss: 2.4854228496551514 |
| i: 9500 | Train Accuracy: 0.4410000145435333 | Train Loss: 1.4779636859893799 | Test Accuracy: 0.24459999799728394 | Test Loss: 2.497648239135742 |
| i: 9600 | Train Accuracy: 0.44359999895095825 | Train Loss: 1.4804856777191162 | Test Accuracy: 0.2460000067949295 | Test Loss: 2.492901563644409 |
| i: 9700 | Train Accuracy: 0.4562000036239624 | Train Loss: 1.4649004936218262 | Test Accuracy: 0.24619999527931213 | Test Loss: 2.483844041824341 |
| i: 9800 | Train Accuracy: 0.45179998874664307 | Train Loss: 1.4677104949951172 | Test Accuracy: 0.24420000612735748 | Test Loss: 2.498955249786377 |
| i: 9900 | Train Accuracy: 0.44679999351501465 | Train Loss: 1.4712265729904175 | Test Accuracy: 0.23899999260902405 | Test Loss: 2.496717929840088 |
| i: 10000 | Train Accuracy: 0.4562000036239624 | Train Loss: 1.463737964630127 | Test Accuracy: 0.24120000004768372 | Test Loss: 2.507676362991333 |
| i: 10100 | Train Accuracy: 0.43479999899864197 | Train Loss: 1.4872088432312012 | Test Accuracy: 0.24979999661445618 | Test Loss: 2.537280559539795 |
| i: 10200 | Train Accuracy: 0.4575999975204468 | Train Loss: 1.4577455520629883 | Test Accuracy: 0.23999999463558197 | Test Loss: 2.501929521560669 |
| i: 10300 | Train Accuracy: 0.45719999074935913 | Train Loss: 1.4529982805252075 | Test Accuracy: 0.24660000205039978 | Test Loss: 2.5074868202209473 |
| i: 10400 | Train Accuracy: 0.4551999866962433 | Train Loss: 1.4652796983718872 | Test Accuracy: 0.23019999265670776 | Test Loss: 2.517200469970703 |
| i: 10500 | Train Accuracy: 0.4528000056743622 | Train Loss: 1.465970754623413 | Test Accuracy: 0.23759999871253967 | Test Loss: 2.524709463119507 |
| i: 10600 | Train Accuracy: 0.4634000062942505 | Train Loss: 1.4490554332733154 | Test Accuracy: 0.24400000274181366 | Test Loss: 2.5062646865844727 |
